Ganai,Kurnai,gad̪,mouth,14,N,gurnvic,,,
Ganai,Kurnai,gad̪,mouth,14,N,wooloong,,,
Ganai,Kurnai,gad̪,mouth,14,N,gart,,,
Ganai,Kurnai,gad̪,mouth,14,N,ganmuck,,,
Ganai,Kurnai,gad̪,mouth,14,N,yōōrin-gāi-it,,,
Ganai,Kurnai,gad̪,mouth,14,N,ghait,,,
Ganai,Kurnai,gad̪,mouth,14,N,gad,,,
Ganai,Kurnai,gad̪,mouth,14,N,gaad,,,
Ganai,Kurnai,gad̪,mouth,14,N,kaath,,,
Yabula-Yabula,Yabula-Yabula,wurru ,mouth,35,N,,,,
Dhudhuroa,Dhudhuroa,lendhewa,mouth,35,N,lendhewa,mouth,lend̪ewa,MOUTH
Dhudhuroa,Dhudhuroa,niwaniwa,mouth,35,N,niwaniwa,mouth,niwaniwa,MOUTH
Dhudhuroa,Dhudhuroa,"lendhewa, niwa niwa",mouth,35,,"lendhewa, niwa niwa",mouth,"lent̪ewa, niwa niwa",
Warrnambool,Warrnambool,pity,navel,86,N,pitj,navel,pic,NAVEL
Warrnambool,Warrnambool,pikurt,navel,86,N,pikurt,navel,pikuʈ,NAVEL
Bunganditj,Buwandik,pi,navel,86,N,pi,navel,pi,NAVEL
Woiwurrung,Woiwurrung,mi–thuk,navel,86,N,mi–dhuk,navel,mi–t̪uk,NAVEL
Katthang,Katthang,Dhi-wi,navel,86,N,Dhee-wee,the navel,Dhi-wi,NAVEL
Buwandik,Buwandik,bi,navel,86,N,bi,navel,bi,NAVEL
Buwandik,Buwandik,[see 'navel'],navel,86,N,[see ‘navel’],umbilicus,[seː 'navel'],NAVEL
Port MacQuarie,Birrpayi,carngon,navel,86,N,carngon,navel,caɳgon,NAVEL
DG?,Dharuk,mumba-rri,navel,86,N,mumba-rri,navel,mumba-ri,NAVEL
Iyora,Iyora,muna-ru,navel,86,N,muna-ru,navel,muna-ɹu,NAVEL
Dharuk,Dharuk,mumbi-ri,navel,86,N,mumbi-ri,navel,mumbi-ɹi,NAVEL
BB,Iyora,máni-ru,navel,86,N,máni-ru,navel,máni-ɹu,NAVEL
DgR,Thanggati,munu-run,navel,86,N,munu-run,navel,munu-ɹun,NAVEL
BB,Iyora,mana-ru,navel,86,N,mana-ru,navel,mana-ɹu,NAVEL
BB,Iyora,munu-ru,navel,86,N,munu-ru,navel,munu-ɹu,NAVEL
DG?,Dharuk,mumba-ri,navel,86,N,mumba-ri,navel,mumba-ɹi,NAVEL
BB,Iyora,munå-ru,navel,86,N,munå-ru,navel,munå-ɹu,NAVEL
Dharuk,Dharuk,bum-bång,navel,86,N,bum-bång,navel,bum-bång,NAVEL
Dharuk,Dharuk,bum-bung,navel,86,N,bum-bung,navel,bum-bung,NAVEL
Dharuk,Dharuk,mundu-ru,navel,86,N,mundu-ru,navel,mundu-ɹu,NAVEL
BB,Iyora,munu-ru,navel,86,N,munu-ru,navel,munu-ɹu,NAVEL
Gdg,Katthang,dhíwi,navel,86,N,dhíwi,navel,d̪íwi,NAVEL
Dharawal,Dharawal,nyirra,navel,86,N,nyirra,navel,ɲira,NAVEL
Gga/Ngwl,Ngunawal,nyara,navel,86,N,nyara,navel,ɲaɹa,NAVEL
Ngarigo,Ngarigu,nyuri-nyuriny,navel,86,N,nyuri-nyuriny,navel,ɲuɹi-ɲuɹiɲ,NAVEL
Dhurga,Dhurga,gåri,navel,86,N,gåri,navel,gåɹi,NAVEL
Dharuk,Dharuk,mumbirri,navel,86,N,mumbirri,navel,mumbiri,NAVEL
Dharuk,Dharuk,boomboong,navel,86,N,boomboong,navel,boːmboːng,NAVEL
Ngaiawang,Ngayawang,pudlamma,navel,86,N,pudlamma,the navel,pudlamma,NAVEL
Ngarrindjeri,Ngarrindjeri,pulaŋki,navel,86,N,pulanggi,navel,pulaŋki,NAVEL
Ngarrindjeri,Ngarrindjeri,pulaŋki,navel,86,N,pulanggi,belly button,pulaŋki,NAVEL
Ngarrindjeri,Ngarrindjeri,puleŋi,navel,86,N,pulengi,navel,puleŋi,NAVEL
Wathawurrung,Wathawurrung,warrung,navel,86,N,warrung,navel,warung,NAVEL
Wathawurrung,Wathawurrung,tolo(rr),navel,86,N,tolo(rr),navel,tolo(r),NAVEL
Colac,Kolakngat,tol (tu),navel,86,N,tol (tu),navel,tol (tu),NAVEL
Colac,Kolakngat,uk gnen nok (tu),navel,86,N,uk gnen nok (tu),navel,uk gnen nok (tu),NAVEL
Tyattyalla,Djadjala,waru,navel,86,N,waru,navel,waɹu,NAVEL
Gulawurrung,Gulawurrung,ˈdɪnydjɪl,navel,86,,ˈdɪñdjɪl,navel,ˈdɪɲdjɪl,NAVEL
Thanggatti,Thanggati,wiriwiri,navel,86,,wiriwiri,navel,wiɹiwiɹi,NAVEL
Port Jackson,Dharuk,Man-a-roo,navel,86,,Man-a-roo,Umbilicus,Man-a-ɹoː,NAVEL
Port Jackson,Dharuk,Man-a-roo,navel,86,,Man-a-roo,Umbilicus,Man-a-ɹoː,NAVEL
Kutthung,Katthang,,navel,86,,Dhee-wee ,the navel,,NAVEL
Wergaia,Werkaya,warrau,navel,86,,warau,navel,warau,
Kutthung,Katthang,theé-wee,navel,86,,dheé-wee,the navel,t̪eé-weː,
Woiwurrung,Woiwurrung,miñthuk,navel,86,,miñdhuk,navel,miñt̪uk,
Katthang,Katthang,thi:wi; ka:ŋan,navel,86,,dhiiwi; gaangan,navel,t̪iːwi; kaːŋan,
Letyi-Letyi,Ladji-Ladji,wuruŋ,navel,86,,wuRung,navel,wuɹuŋ,
Piangil,Piangil,,navel,86,,,navel,,
Dhudhuroa,Dhudhuroa,pitit-pititpa,navel,86,,bidit-biditba,navel,pitit-pititpa,
Ganai,Kurnai,mind̤ug,navel,51,N,mirnduk,,,
Yabula-Yabula,Yabula-Yabula,kadhakat ,navel,86,N,,,,
Dhudhuroa,Dhudhuroa,bidit-biditba,navel,86,,bidit-biditba,navel,pitit-pititpa,
Tjapwurrung,Tjapwurrung,kurn,neck,46,N,kurn,neck,kuɳ,NECK
Tjapwurrung,Tjapwurrung,nyani,neck,46,N,nyani,neck,ɲani,NECK
Bunganditj,Buwandik,kurn,neck,46,N,kurn,neck,kuɳ,NECK
Madhi-Madhi,Mathi-Mathi,ŋani,neck,46,N,ngani-,Neck,ŋani,NECK
Ledji-Ledji,Ladji-Ladji,kuRinti,neck,46,N,KuRinti,Neck,kuRinti,NECK
Wadi-Wadi (Swan Hill),Wadi-wadi,kurntu,neck,46,N,Kurntu,Neck,kuɳtu,NECK
Wadi-Wadi (Swan Hill),Wadi-wadi,tyakurntu,neck,46,N,Tjakurntu 'throat',Neck,cakuɳtu,NECK
Wadi-Wadi (Piangil),Wadi-wadi,tulukanti,neck,46,N,Tulukanti 'throat',Neck,tulukanti,NECK
Wemba-Baraba,Baraba Baraba,kurn,neck,46,N,Kurn,Neck,kuɳ,NECK
Wemba-Baraba,Baraba Baraba,nyani,neck,46,N,nyani,Neck,ɲani,NECK
Warrnambool,Warrnambool,nhaniŋ,neck,46,N,nhaning,neck,n̪aniŋ,NECK
Warrnambool,Warrnambool,naka,neck,46,N,naka,neck,naka,NECK
Warrnambool,Warrnambool,kat,neck,46,N,kat,neck,kat,NECK
Warrnambool,Warrnambool,ŋalum,neck,46,N,ngalum,neck,ŋalum,NECK
Warrnambool,Warrnambool,kurn,neck,46,N,kurn,neck,kuɳ,NECK
Katthang,Katthang,Wit-tu,neck,46,N,Wit-too,the neck,Wit-tu,NECK
Darkinyung,Darkinyung,kama,neck,46,N,gama,neck,kama,NECK
Darkinyung,Darkinyung,kaŋka:,neck,46,N,ganggaa,neck,kaŋkaː,NECK
Thoerwel,Dharawal,mulun,neck,46,N,muhluhn,neck,mulun,NECK
DG?,Dharuk,gala-ya,neck,46,N,gala-ya,neck,gala-ja,NECK
Iyora,Iyora,gali-ya,neck,46,N,gali-ya,neck,gali-ja,NECK
Dharuk,Dharuk,ga-nga,neck,46,N,ga-nga,neck,ga-nga,NECK
Dharuk,Dharuk,gung-Ga,neck,46,N,gung-Ga,neck,gung-Ga,NECK
Dharuk,Dharuk,gan-Gá,neck,46,N,gan-Gá,neck,gan-Gá,NECK
DgR,Thanggati,guwa-nga,neck,46,N,guwa-nga,neck,guwa-nga,NECK
Awabakal,Awabakal,wuru,neck,46,N,wuru,neck,wuɹu,NECK
BB,Iyora,gadal-wå,neck,46,N,gadal-wå,neck,gadal-wå,NECK
Dharuk,Dharuk,gang-Ga,neck,46,N,gang-Ga,neck,gang-Ga,NECK
BB,Iyora,gad-li-yan,neck,46,N,gad-li-yan,neck,gad-li-jan,NECK
Dharuk,Dharuk,gang-a,neck,46,N,gang-a,neck,gang-a,NECK
Iyora,Iyora,ga-nga,neck,46,N,ga-nga,neck,ga-nga,NECK
Iyora,Iyora,gad-liya,neck,46,N,gad-liya,neck,gad-lija,NECK
DG?,Dharuk,ga-nga,neck,46,N,ga-nga,neck,ga-nga,NECK
Iyora,Iyora,gadal-wå,neck,46,N,gadal-wå,neck,gadal-wå,NECK
Dharuk,Dharuk,gu-nga,neck,46,N,gu-nga,neck,gu-nga,NECK
BB,Iyora,gadal-wa,neck,46,N,gadal-wa,neck,gadal-wa,NECK
Iyora,Iyora,gang-Ga,neck,46,N,gang-Ga,neck,gang-Ga,NECK
BB,Iyora,gad-liya,neck,46,N,gad-liya,neck,gad-lija,NECK
DG?,Dharuk,gara-nging,neck,46,N,gara-nging,neck,gaɹa-nging,NECK
Iyora,Iyora,gål-yang,neck,46,N,gål-yang,neck,gål-jang,NECK
BB,Iyora,gá-lang,neck,46,N,gá-lang,neck,gá-lang,NECK
DgR,Thanggati,gal-yang,neck,46,N,gal-yang,neck,gal-jang,NECK
BB,Iyora,gål-yaŋ,neck,46,N,gål-yaŋ,neck,gål-jaŋ,NECK
BB,Iyora,gad-li-yang,neck,46,N,gad-li-yang,neck,gad-li-jang,NECK
Iyora,Iyora,gad-li-yang,neck,46,N,gad-li-yang,neck,gad-li-jang,NECK
NrN,NrN (Steele Source),guliyung,neck,46,N,guliyung,neck,gulijung,NECK
Karree,Karree,gala-ring,neck,46,N,gala-ring,neck,gala-ɹing,NECK
Gdg?,Katthang,wuru,neck,46,N,wuru,neck,wuɹu,NECK
NrN,NrN (Steele Source),galling,neck,46,N,galling,neck,galling,NECK
Gdg,Katthang,wíddu,neck,46,N,wíddu,neck,wíddu,NECK
Awabakal,Awabakal,gali-yung,neck,46,N,gali-yung,neck,gali-jung,NECK
Awabakal,Awabakal,gali-yung,neck,46,N,gali-yung,neck,gali-jung,NECK
Awabakal,Awabakal,wurå-ga,neck,46,N,wurå-ga,neck,wuɹå-ga,NECK
Awabakal,Awabakal,gali-yang,neck,46,N,gali-yang,neck,gali-jang,NECK
Birrpayi,Birrpayi,wurru,neck,46,N,wurru,neck,wuru,NECK
Birrpayi,Birrpayi,wurru,neck,46,N,wurru,neck,wuru,NECK
Birrpayi,Birrpayi,bålla,neck,46,N,bålla,neck,bålla,NECK
Ngarigo,Ngarigu,bingGal,neck,46,N,bingGal,neck,bingGal,NECK
Gundungurra,Gundungurra,gadhidy,neck,46,N,gadhidy,neck,gad̪iɟ,NECK
Gga/Ngwl,Ngunawal,nhan,neck,46,N,nhan,neck,n̪an,NECK
Gundungurra,Gundungurra,ganga,neck,46,N,ganga,neck,ganga,NECK
Gundungurra,Gundungurra,gangá,neck,46,N,gangá,neck [?],gangá,NECK
Gundungurra,Gundungurra,gangá,neck,46,N,gangá,neck [?],gangá,NECK
Dharawal,Dharawal,guru,neck,46,N,guru,neck,guɹu,NECK
Gundungurra,Gundungurra,ganga,neck,46,N,ganga,neck,ganga,NECK
Gundungurra,Gundungurra,ganga,neck,46,N,ganga,neck,ganga,NECK
DWL?,Dharawal,guning,neck,46,N,guning,neck,guning,NECK
Dhurga,Dhurga,naŋGur,neck,46,N,naŋGur,neck,naŋGuɹ,NECK
Dharuk,Dharuk,kuŋka,neck,46,N,kungga,neck,kuŋka,NECK
Dharuk,Dharuk,ganga,neck,46,N,ganga,neck,ganga,NECK
Ngarigu,Ngarigu,biŋkil,neck,46,N,binggil,neck,biŋkil,NECK
Ngaiawang,Ngayawang,ngurro,neck,46,N,ngurro,neck,nguro,NECK
Ngarrindjeri,Ngarrindjeri,kurri,neck,46,N,kurri,neck,kuri,NECK
Yitha-Yitha,Yitha-Yitha,yangi ~ yange,neck,46,N,yangi ~ yange,neck,jangi ~ jange,NECK
Keramin,Keramin,nguru,neck,46,N,nguru,neck,nguɹu,NECK
Madhi-Madhi,Mathi-Mathi,ŋani,neck,46,N,ngani,neck,ŋani,NECK
Wemba-Wemba,Wemba-Wemba,nyani,neck,46,N,nyani,neck,ɲani,NECK
Gandangara,Gundungurra,gUdidy,neck,46,N,gUdidy,neck,gUdiɟ,NECK
The Canberra Language,Ngunawal,nhanpa,neck,46,N,nhanba,neck,n̪anpa,NECK
Dharawal,Dharawal,ŋaniŋ,neck,46,N,nganing,neck,ŋaniŋ,NECK
Dhurga,Dhurga,ŋaniŋ,neck,46,N,nganing,neck,ŋaniŋ,NECK
Dharawal,Dharawal,kawaning,neck,46,N,gawaning,neck,kawaning,NECK
Dharawal,Dharawal,kuru,neck,46,N,guru,neck,kuɹu,NECK
Colac,Kolakngat,kon-gnen-nok (tu),neck,46,N,kon-gnen-nok (tu),neck,kon-gnen-nok (tu),NECK
Tyattyalla,Djadjala,nyanne,neck,46,N,nyanne,neck,ɲanne,NECK
Southern Ngarigu,Ngarigu,bingil,neck,46,,bingil,neck,bingil,NECK
Dharawal,Dharawal,ŋaniŋ,neck,46,N,ŋaniŋ,neck,ŋaniŋ,NECK
Keerraywoorroong,Keerraywoorroong,kat,neck,46,N,kart,neck,kat,NECK
Keerraywoorroong,Keerraywoorroong,kat,neck,46,N,kart,neck,kat,NECK
Keerraywoorroong,Keerraywoorroong,koorn,neck,46,N,kourn,neck,koːɳ,NECK
Keerraywoorroong,Keerraywoorroong,koorn,neck,46,N,koorn,neck,koːɳ,NECK
Keerraywoorroong,Keerraywoorroong,ngaloom,neck,46,N,norlaim,neck,ngaloːm,NECK
Keerraywoorroong,Keerraywoorroong,ngaloom,neck,46,N,arlong,neck,ngaloːm,NECK
Keerraywoorroong,Keerraywoorroong,ngaloom,neck,46,N,allum,neck,ngaloːm,NECK
Wemba-Wemba,Wemba-Wemba,nyani,neck,46,N,nyani,neck,ɲani,NECK
Keerraywoorroong,Keerraywoorroong,koorn,neck,46,N,naga atnin,neck,koːɳ,NECK
Keerraywoorroong,Keerraywoorroong,koorn,neck,46,N,nannin,neck,koːɳ,NECK
Port Jackson,Dharuk,Cad-lwar,neck,46,,Cad-lwar,Neck,Cad-lwaɹ,NECK
Port Jackson,Dharuk,Col-liang,neck,46,,Col-liang,Neck,Col-liang,NECK
Peekwurrung,Pikwurrung,nan.nin,neck,46,,nan.nin,neck,nan.nin,NECK
Port Jackson,Dharuk,Cad-lwar,neck,46,,Cad-lwar,Neck,Cad-lwaɹ,NECK
Port Jackson,Dharuk,Col-liang,neck,46,,Col-liang,Neck,Col-liang,NECK
Kutthung,Katthang,,neck,46,,Wit-too ,the neck,,NECK
Wergaia,Werkaya,nyani,neck,46,,njani,neck,ɲani,
Kutthung,Katthang,wít-too,neck,46,,wít-too,the neck,wít-toː,
Southern Ngarigu,Ngarigu,,neck,46,,binggil,neck,,
Keramin,Keramin,ŋuru,neck,46,,nguru,neck,ŋuɹu,
Yitha-Yitha,Yitha-Yitha,yaŋi / yaŋe,neck,46,,yangi / yange,neck,yaŋi / yaŋe,
Katthang,Katthang,pala; narikiŋ; withu; wurru,neck,46,,bala; nariging; withu; wurru,neck,pala; naɹikiŋ; wit̪u; wuru,
Yabula-Yabula,Yabula-Yabula,wannawur ,neck,46,N,,,,
Ganai,Kurnai,d̪ulud(d),neck,21,N,dhulut,,,
Ganai,Kurnai,d̪ulud(d),neck,21,N,toloit,,,
Ganai,Kurnai,d̪ulud(d),neck,21,N,nȳēnnin,,,
Darkinyung,Darkinyung,kulayi,net bag,3089,N,gulayi,net bag,kulaji,
Dharuk,Dharuk,juguma,net bag,3089,N,juguma,net bag,juguma,
Ngarigu,Ngarigu,badjung,net bag,3089,N,badjung,net bag,badjung,
Ngaiawang,Ngayawang,dlenko,net bag,3089,s,dlenko,net bag carried by the men,dlenko,
Ngaiawang,Ngayawang,rakko,net bag,3089,N,rakko,net bag,ɹakko,
Ngarrindjeri,Ngarrindjeri,mererki,net bag,3089,N,mererki,net bag,meɹeɹki,
Ngarrindjeri,Ngarrindjeri,wullanti,net bag,3089,N,wullanti,net bag,wullanti,
Tyattyalla,Djadjala,warak,net bag,3089,N,warak,net bag,waɹak,
Warrnambool,Warrnambool,kurira,net bag,3089,N,kurira,net bag,kuɹiɹa,
Southern Ngarigu,Ngarigu,badjun,net bag,3089,,badjun,net bag,badjun,
Keerraywoorroong,Keerraywoorroong,koorrayarr,net bag,3089,N,kuuraer,"bag, net bag, for back",koːrajar,
Keerraywoorroong,Keerraywoorroong,koorrayarr,net bag,3089,N,kuuraeer,"bag, net bag, for back",koːrajar,
Keerraywoorroong,Keerraywoorroong,koorrayarr,net bag,3089,N,kurera,"bag, net bag, for back",koːrajar,
Chap Wuruong,Tjapwurrung,warrak,net bag,3089,,warrak,"bag, net bag for back",warak,
Kuurn kopan noot,Gunditjmara,kuuræer,net bag,3089,,kuuræer,"bag, net bag for back",kuːɹæeɹ,
Peek whuurong,Pikwurrung,kuurær,net bag,3089,,kuurær,"bag, net bag for back",kuːɹæɹ,
Boonwerong,Boonwurrung,mo.gor.rer,net bag,3089,,mo.gor.rer,net bag,mo.goɹ.ɹeɹ,
Wergaia,Werkaya,warrak,net bag,3089,,warag,net bag,warak,
Southern Ngarigu,Ngarigu,,net bag,3089,,badjung,net bag,,
Katthang,Katthang,puttyin,net bag,3089,,butjin,net bag,putcin,
Yabula-Yabula,Yabula-Yabula,murra ,net bag,3089,N,,,,
Yabula-Yabula,Yabula-Yabula,murrany,net bag,,N,,,,
Yabula-Yabula,Yabula-Yabula,dhalanymana,net bag,,N,,,,
Wathawurrung,Wathawurrung,murrkal,night,618,N,murrkal,night,murkal,NIGHT
Bunganditj,Buwandik,mul,night,618,N,mul,night,mul,NIGHT
Bunganditj,Buwandik,mur,night,618,N,mur,night,muɹ,NIGHT
Bunganditj,Buwandik,maŋginya,night,618,N,mangginya,night,maŋgiɲa,NIGHT
Woiwurrung,Woiwurrung,purru–,night,618,N,burru–,night,puru–,NIGHT
Woiwurrung,Woiwurrung,mupurrun,night,618,N,muburrun,night,mupurun,NIGHT
Sydney,Dharuk,ŋuwiŋ,night,618,N,nguwing,night,ŋuwiŋ,NIGHT
Djadja Wurrung,Djadjawurrung,puroinu,night,618,N,boo-royne-nu,tonight,puɹoinu,NIGHT
Katthang,Katthang,Kur-ra,night,618,N,Koor-ra,night,Kuɹ-ɹa,NIGHT
Buwandik,Buwandik,mul,night,618,N,mul,night,mul,NIGHT
Buwandik,Buwandik,murr,night,618,N,murr,night,mur,NIGHT
Buwandik,Buwandik,maŋkinya,night,618,N,mangkinya,night,maŋkiɲa,NIGHT
Gunbower,Baraba Baraba,purin,night,618,N,boorin,night,puɹin,NIGHT
Kulkyne,Mathi-Mathi,pyaŋri,night,618,N,biangri,night,pjaŋɹi,NIGHT
Hamilton,Gunditjmara,purren,night,618,N,borrine,night,puren,NIGHT
Warnambool,Warrnambool,paron,night,618,N,borone,night,paɹon,NIGHT
Colac,Kolakngat,puruna,night,618,N,pooroonna,night,puɹuna,NIGHT
Yarra Yarra,Woiwurrung,puran,night,618,N,booren,night,puɹan,NIGHT
Darkinyung,Darkinyung,miniŋ,night,618,N,mining,"dark, black, night",miniŋ,NIGHT
Port MacQuarie,Birrpayi,brimi,night,618,N,brimi,Night,bɹimi,NIGHT
The Manning River,Birrpayi,koonbaka,night,618,N,koonbaka,Night,koːnbaka,NIGHT
The Hunter River,Wonnarua,tookoi or dookoi,night,618,N,tookoi or dookoi,Night,toːkoi oɹ doːkoi,NIGHT
Wellington,Wellington,oorong,night,618,N,oorong,Night,oːɹong,NIGHT
"Port Jackson, or a Part of Sydney Harbour",Dharuk,gnoowing,night,618,N,gnoowing,Night,gnoːwing,NIGHT
"Port Jackson, or a Part of Sydney Harbour",Dharuk,gnoowing,night,618,N,gnoowing,Night,gnoːwing,NIGHT
Botany Bay,Dharuk,purra,night,618,N,purra,Night,pura,NIGHT
Queanbeyan,Ngunawal,dia,night,618,N,dia,Night,dia,NIGHT
Yass,Ngunawal,burrabi,night,618,N,burrabi,Night,burabi,NIGHT
Moneroo,Moneroo,watha,night,618,N,watha,Night,wat̪a,NIGHT
SWAN HILL AND TYNTYNDER,Wadi-wadi,wooka-boorangi,night,618,N,wooka-boorangi,Night,woːka-boːɹangi,NIGHT
Piangil,Piangil,boorongi,night,618,N,boorongi,Night,boːɹongi,NIGHT
Piangil,Piangil,borongi,night,618,N,borongi,Night,boɹongi,NIGHT
KULKYNE,Mathi-Mathi,alokopontyi,night,618,N,alogobondji,Night,alokoponci,NIGHT
THE TATIARRA COUNTRY,Bindjali,porrung-porrung,night,618,N,porrung-porrung,Night,porung-porung,NIGHT
THE TATIARRA COUNTRY,Bindjali,boroin,night,618,N,boroin,Night,boɹoin,NIGHT
MOUNT GAMBIER,Buwandik,mola,night,618,N,mola,Night,mola,NIGHT
"LAKE HINDMARSH, UPPER REGIONS STATION, AND LOWER WIMMERA","Lake Hindmarsh, Upper Regions Station, And Lower Wimmera",poroin,night,618,N,poroin,Night,poɹoin,NIGHT
UPPER GLENELG AND WANNON,Mardidjali,boroin,night,618,N,boroin,Night,boɹoin,NIGHT
"THE GLENELG, ABOVE WOODFORD",Mardidjali,poroin,night,618,N,poroin,Night,poɹoin,NIGHT
Woodford,Mardidjali,moor,night,618,N,moor,Night,moːɹ,NIGHT
Hamilton,Gunditjmara,poroin,night,618,N,poroin,Night,poɹoin,NIGHT
MOUNT ROUSE; NATIVE NAME KOOLOOR,Gunditjmara,boroin,night,618,N,boroin,Night,boɹoin,NIGHT
HOPKINS RIVER,Bindjali,puroin,night,618,N,puroin,Night,puɹoin,NIGHT
HOPKINS RIVER,Bindjali,koorowullock,night,618,N,koorowullock,Night,koːɹowullock,NIGHT
MOULMEIN,Wemba-Wemba,poruŋ,night,618,N,poroong,Night,poɹuŋ,NIGHT
LAKE BOGA,Wemba-Wemba,porroin,night,618,N,porroin,Night,poroin,NIGHT
"THE NEIGHBOURHOOD OF LAKE BOGA, PROBABLY MOORERBAT AND THE LOWER LODDON",Wemba-Wemba,poroin,night,618,N,poroin,Night,poɹoin,NIGHT
"GONN STATION, MURRAY RIVER",Wemba-Wemba,pori,night,618,N,pori,Night,poɹi,NIGHT
GUNBOWER STATION,Baraba Baraba,ka:ralkmin,night,618,N,kaaralkmin,Night,kaːɹalkmin,NIGHT
"KERANG, LODDON RIVER",Wemba-Wemba,poroin,night,618,N,boroin,Night,poɹoin,NIGHT
"SEYMOUR TO MURCHISON, PART OF GOULBURN RIVER, WHROO, ETC - NGOORAIALUM LANGUAGE",Daungwurrung,boroin,night,618,N,boroin,Night,boɹoin,NIGHT
"HEALESVILLE, UPPER YARRA - OORONGIR LANGUAGE.",Woiwurrung,poroin,night,618,N,boroin,Night,poɹoin,NIGHT
LOWER YARRA,Lower Yarra,booronthooith,night,618,N,booronthooith,Night,boːɹont̪oːit̪,NIGHT
MORDIYALLOOK,Boonwurrung,pooroin,night,618,N,pooroin,Night,poːɹoin,NIGHT
Dartmoor,Mardidjali,mo/l,night,618,N,mo/l,night,mo/l,NIGHT
Port MacQuarie,Birrpayi,bimi,night,618,N,bimi,night,bimi,NIGHT
Pytu Reach,Ngarrindjeri,yonguldyi,night,618,N,yonguldyi,Night,jongulɟi,NIGHT
Yit-Tha,Yitha-Yitha,roin,night,618,N,roin,Night,ɹoin,NIGHT
"Ned's Corner Station, Murray River",Ngintait,nulka,night,618,N,nulka,Night,nulka,NIGHT
Wellington,Wellington,nimmi,night,618,N,nimmi,Night,nimmi,NIGHT
Dharuk,Dharuk,ma-rig,night,618,N,ma-rig,night,ma-ɹig,NIGHT
DgR,Thanggati,mini,night,618,N,mini,night,mini,NIGHT
Dharuk,Dharuk,mi-nig,night,618,N,mi-nig,night,mi-nig,NIGHT
DgR,Thanggati,mini,night,618,N,mini,night,mini,NIGHT
Dharuk,Dharuk,mi-nag,night,618,N,mi-nag,night,mi-nag,NIGHT
DgR,Thanggati,minni,night,618,N,minni,night,minni,NIGHT
Dharuk,Dharuk,mi-nig,night,618,N,mi-nig,night,mi-nig,NIGHT
Dharuk,Dharuk,mi-nag,night,618,N,mi-nag,night,mi-nag,NIGHT
DG?,Dharuk,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
BB,Iyora,ŋuwin,night,618,N,ŋuwin,night,ŋuwin,NIGHT
Iyora,Iyora,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
BB,Iyora,nuwin,night,618,N,nuwin,night,nuwin,NIGHT
BB,Iyora,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
BB,Iyora,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
BB,Iyora,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
BB,Iyora,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
BB,Iyora,má-lung,night,618,N,má-lung,night,má-lung,NIGHT
BB,Iyora,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
BB,Iyora,ngu-wing,night,618,N,ngu-wing,night,ngu-wing,NIGHT
Karree,Karree,gura,night,618,N,gura,night,guɹa,NIGHT
LD,Awabakal,gura,night,618,N,gura,night,guɹa,NIGHT
Gdg?,Katthang,bimi,night,618,N,bimi,tonight,bimi,NIGHT
Gdg?,Katthang,budung,night,618,N,budung,night,budung,NIGHT
NrN,NrN (Steele Source),minning,night,618,N,minning,night,minning,NIGHT
Darkinyung,Darkinyung,minnig,night,618,N,minnig,night,minnig,NIGHT
Darkinyung,Darkinyung,minnig,night,618,N,minnig,night,minnig,NIGHT
Gdg,Katthang,gúrra,night,618,N,gúrra,night,gúra,NIGHT
Darkinyung,Darkinyung,minnig,night,618,N,minnig,night,minnig,NIGHT
Darkinyung,Darkinyung,mínnig,night,618,N,mínnig,night,mínnig,NIGHT
Awabakal,Awabakal,dågåi,night,618,N,dågåi,night,dågåi,NIGHT
Awabakal,Awabakal,dågåi,night,618,N,dågåi,night,dågåi,NIGHT
Birrpayi,Birrpayi,birami,night,618,N,birami,night,biɹami,NIGHT
Wonarua,Wonnarua,dugåi,night,618,N,dugåi,night,dugåi,NIGHT
Wonarua,Wonnarua,dagadan,night,618,N,dagadan,night,dagadan,NIGHT
Gundungurra,Gundungurra,burra-yi,night,618,N,burra-yi,night,bura-ji,NIGHT
Gundungurra,Gundungurra,bura-yi,night,618,N,bura-yi,night,buɹa-ji,NIGHT
Gundungurra,Gundungurra,gagu,night,618,N,gagu,night,gagu,NIGHT
Gga/Ngwl,Ngunawal,buranya,night,618,N,buranya,night,buɹaɲa,NIGHT
Gga/Ngwl,Ngunawal,gagu,night,618,N,gagu,night,gagu,NIGHT
Gundungurra,Gundungurra,barai,night,618,N,barai,night,baɹai,NIGHT
Gundungurra,Gundungurra,bara-yi,night,618,N,bara-yi,night,baɹa-ji,NIGHT
Gundungurra,Gundungurra,bara bara,night,618,N,bara bara,night,baɹa baɹa,NIGHT
Gundungurra,Gundungurra,bara bara,night,618,N,bara bara,night,baɹa baɹa,NIGHT
Gundungurra,Gundungurra,bará-yi-yulu,night,618,N,bará-yi-yulu,night,baɹá-ji-julu,NIGHT
